,visL,visR,gamma,baseline,audL,audR,neuronID,model_type,r2,mse,adj_r2,hemi,bombcell_class,is_good,BerylAcronym,ml,ap,dv,probeID,firing_rate,amp_median,subject,date
0,1.5009680052689766e-05,4.636644267565739e-06,0.9508385464557655,-1.2990545948541106e-05,3.219578506016421e-06,4.862694450942486e-06,neuron_0,audiovisual,-0.008000983624634639,0.7936515681095968,-0.05000102460899436,,noise,False,void,,,,0.0,0.12187336386894,11.75812530517578,AV005,2022-05-12
1,,,,-1.3926968698379034e-06,-2.0647497833768222e-05,2.2819922315511636e-05,neuron_0,aud,-0.007995680662178373,0.7936473928116186,-0.03278245969485494,,noise,False,void,,,,0.0,0.12187336386894,11.75812530517578,AV005,2022-05-12
2,9.237873261948315e-07,-3.7972896990237907e-06,0.8800295445269953,5.0265823933801995e-06,,,neuron_0,vis,-0.00799894148680691,0.7936499602283391,-0.03278580070369563,,noise,False,void,,,,0.0,0.12187336386894,11.75812530517578,AV005,2022-05-12
3,,,,0.0,,,neuron_0,baseline,-0.007999999999999119,0.7936507936507946,-0.016129032258063614,,noise,False,void,,,,0.0,0.12187336386894,11.75812530517578,AV005,2022-05-12
4,1.7426653858225203,1.4140179970739433,0.001,2.7873904775947307,0.18156176434407406,-0.02592275569885934,neuron_1,audiovisual,0.004425148318511818,44.981471473364294,-0.0370571371682169,,mua,False,void,,,,0.0,3.961775413327893,11.64033508300781,AV005,2022-05-12
5,,,,4.096382020310677,0.23110711200559136,0.03535755644806979,neuron_1,aud,-0.005967931443138674,45.45104542858172,-0.030704847790101075,,mua,False,void,,,,0.0,3.961775413327893,11.64033508300781,AV005,2022-05-12
6,1.7458166036632474,1.4152383085417433,0.001,2.8385241632964897,,,neuron_1,vis,0.002351855002325487,45.075145780223735,-0.022180476432043683,,mua,False,void,,,,0.0,3.961775413327893,11.64033508300781,AV005,2022-05-12
7,,,,4.186509073529262,,,neuron_1,baseline,-0.008373445149932879,45.55972991975604,-0.01650548906243232,,mua,False,void,,,,0.0,3.961775413327893,11.64033508300781,AV005,2022-05-12
8,0.7909974636972698,1.700168177947715,0.5244600665195698,2.3048266521707976,-0.5053808759908996,-0.654424422197556,neuron_10,audiovisual,-0.02259183975023893,28.28938876406556,-0.06519983307316557,-1.0,noise,False,RSPv,4686.067556047469,9076.271269362427,1178.2097582583028,0.0,1.7373466145231458,11.60791492462158,AV005,2022-05-12
9,,,,3.012044941305409,-0.4974223471336726,-0.6168387709833222,neuron_10,aud,-0.008481330013813793,27.899029991311853,-0.033280051243661735,-1.0,noise,False,RSPv,4686.067556047469,9076.271269362427,1178.2097582583028,0.0,1.7373466145231458,11.60791492462158,AV005,2022-05-12
10,0.7355013369989868,1.667446786740382,0.5447722124892097,1.9511502503532243,,,neuron_10,vis,-0.014057787976583747,28.053299349919094,-0.03899363522190957,-1.0,noise,False,RSPv,4686.067556047469,9076.271269362427,1178.2097582583028,0.0,1.7373466145231458,11.60791492462158,AV005,2022-05-12
11,,,,2.6388887375373393,,,neuron_10,baseline,-0.002404937979123556,27.730930257018837,-0.010488848769277803,-1.0,noise,False,RSPv,4686.067556047469,9076.271269362427,1178.2097582583028,0.0,1.7373466145231458,11.60791492462158,AV005,2022-05-12
12,0.4376011432717454,0.825199922843351,10.0,1.1479650378751227,-0.20482759763520644,-0.07726881978716708,neuron_101,audiovisual,0.014298751630077322,16.59599040622829,-0.02677213371866949,-1.0,mua,False,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,2.1646573852537263,12.263293261356138,AV005,2022-05-12
13,,,,1.3252974172874816,-0.21418638747856716,-0.06780914897342154,neuron_101,aud,-0.004628132931186135,16.914657340167928,-0.02933210341310044,-1.0,mua,False,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,2.1646573852537263,12.263293261356138,AV005,2022-05-12
14,0.43386260970902824,0.8314337951607712,10.0,1.0526106432993763,,,neuron_101,vis,0.01819697062734571,16.530357127192648,-0.005945726816244168,-1.0,mua,False,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,2.1646573852537263,12.263293261356138,AV005,2022-05-12
15,,,,1.2301585894889826,,,neuron_101,baseline,-9.352720821653726e-05,16.83830938666895,-0.008158797588927902,-1.0,mua,False,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,2.1646573852537263,12.263293261356138,AV005,2022-05-12
16,0.0500882462601434,0.00303565289741466,0.001,0.03845738372882036,-0.061689312878315326,-0.06164045706700083,neuron_102,audiovisual,-0.005155781467848675,0.7914113925641281,-0.04703727236234245,-1.0,mua,False,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,0.4992832297083009,13.361408048397182,AV005,2022-05-12
17,,,,0.06024347636717519,-0.06024467205281323,-0.06024221716492995,neuron_102,aud,-0.0096098977402721,0.7949183498206973,-0.03443637063552463,-1.0,mua,False,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,0.4992832297083009,13.361408048397182,AV005,2022-05-12
18,0.0461807893289599,-0.00011321915337118716,0.001,0.00011073248795504433,,,neuron_102,vis,0.00016797837712045904,0.7872197197207095,-0.024418054941474976,-1.0,mua,False,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,0.4992832297083009,13.361408048397182,AV005,2022-05-12
19,,,,0.019841267570600837,,,neuron_102,baseline,-0.004500000343323762,0.7908950619987111,-0.012600806797705477,-1.0,mua,False,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,0.4992832297083009,13.361408048397182,AV005,2022-05-12
20,-1.0557244664067795,-0.0870995010651171,1.2133752441211823,3.658218177662406,-0.6020189439091495,0.06835151229626413,neuron_103,audiovisual,-0.01866010695289866,26.53803352454766,-0.0611042780759361,-1.0,good,True,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,3.944913294367399,23.565050125032847,AV005,2022-05-12
21,,,,3.4337371903664526,-0.626717529346184,0.03931323272346087,neuron_103,aud,-0.004797667530813454,26.176890607882605,-0.029505806896325204,-1.0,good,True,SCs,4667.432637510624,9257.854094817058,1500.3687616364937,0.0,3.944913294367399,23.565050125032847,AV005,2022-05-12
