,neuronID,r2_score,adj_r2,mean_squared_error,explained_variance_score,baseline,gamma,model,explained_variance_score_choice,choice,explained_variance_score_visC,visC,explained_variance_score_audC,audC,explained_variance_score_audI,audI,hemi,BerylAcronym,bombcell_class,is_good,ml,ap,dv,presenceRatio,percentageSpikesMissing_gaussian,fractionRPVs_estimatedTauR,signalToNoiseRatio,subject,date,fitID,sessionID,audR_behav,audL_behav,visR_behav,visL_behav,gamma_behav,bias_behav,subject_behav,date_behav,SPL_behav,log_loss_behav
982260,neuron_22,0.0177533301646697,0.0156678807594992,41.30011985411709,0.0197294691515503,4.02989339760953,1.0,choice,0.0197065932448456,-1.0981582341818896,,,,,,,1.0,SCm,good,True,7463.233402113514,8955.955488843181,2667.662715844052,0.9847328244274808,0.3440873138393696,0.2517439206305522,,AV025,2022-11-09,AV025_2022-11-09_neuron_22,AV025_2022-11-09,0.4217647803131358,-1.5434603901265285,2.8431961176856007,-2.61311173863655,0.565022547377064,-0.0864495417256508,AV025,2022-11-09,low,0.4466878236468597
982293,neuron_55,0.0101621775060192,0.0080606110039088,452.7325351152197,0.0103979726078636,55.85505553760919,1.0,choice,0.0103954738460962,-3.9222518653723912,,,,,,,1.0,SCm,good,True,7477.507285547149,8965.186430487289,2477.1961466241846,1.0,6.8851191364518005,0.00594181384072,,AV025,2022-11-09,AV025_2022-11-09_neuron_55,AV025_2022-11-09,0.4217647803131358,-1.5434603901265285,2.8431961176856007,-2.61311173863655,0.565022547377064,-0.0864495417256508,AV025,2022-11-09,low,0.4466878236468597
1108222,neuron_1094,0.0248827662758372,0.022785739966753,433.73913769780216,0.0264916422075054,17.372406908089676,1.0,choice,0.026397728762045,-4.201986896809399,,,,,,,-1.0,SCm,good,True,4059.9204172206814,9135.246942752568,2495.409381586235,1.0,0.0001359202233208,0.0161600738314109,,AV030,2022-12-07,AV030_2022-12-07_neuron_1094,AV030_2022-12-07,0.6749867664755633,-1.6167027291558929,2.463766665911407,-2.338633200789741,0.9703850277427386,0.6693917537061413,AV030,2022-12-07,low,0.4958229906009733
1108225,neuron_1097,0.0111042991180588,0.0089776416968073,44.8814483626602,0.0125619606350216,2.3549927059064317,1.0,choice,0.0125295677467746,-1.1148778090589555,,,,,,,-1.0,SCm,good,True,4057.129243946924,9134.072109548208,2462.190455984728,1.0,0.2044616938335797,0.0198803680683095,,AV030,2022-12-07,AV030_2022-12-07_neuron_1097,AV030_2022-12-07,0.6749867664755633,-1.6167027291558929,2.463766665911407,-2.338633200789741,0.9703850277427386,0.6693917537061413,AV030,2022-12-07,low,0.4958229906009733
1108473,neuron_1345,0.0079267217779747,0.005793230857067,110.65198166260762,0.0126336786028903,3.699610664369367,1.0,choice,0.0125821038000174,-1.2559108335732967,,,,,,,-1.0,SCm,good,True,4097.325891163237,8938.638796758385,2383.5031047040056,1.0,3.934635047775359e-05,0.0278103522229512,,AV030,2022-12-07,AV030_2022-12-07_neuron_1345,AV030_2022-12-07,0.6749867664755633,-1.6167027291558929,2.463766665911407,-2.338633200789741,0.9703850277427386,0.6693917537061413,AV030,2022-12-07,low,0.4958229906009733
1081756,neuron_173,0.0234288248266701,0.0213286717617813,1146.7935877817176,0.0234881310305814,74.28002060908656,1.0,choice,0.023400912792979,6.168893368205375,,,,,,,1.0,SCm,good,True,7629.466808463123,9035.421413073076,2572.210168065077,1.0,13.221127576774071,0.0338240226648318,,AV030,2022-12-07,AV030_2022-12-07_neuron_173,AV030_2022-12-07,0.6749867664755633,-1.6167027291558929,2.463766665911407,-2.338633200789741,0.9703850277427386,0.6693917537061413,AV030,2022-12-07,low,0.4958229906009733
1129510,neuron_105,0.0128377509534963,0.0106776585048168,352.33633737559387,0.0131892387682496,68.66220071156135,1.0,choice,0.0131508763630013,-3.375685118112779,,,,,,,1.0,SCm,good,True,7612.026386306688,9162.317058865538,2411.6794477355547,1.0,0.1280253543874177,0.006873239341955,,AV030,2022-12-08,AV030_2022-12-08_neuron_105,AV030_2022-12-08,1.1892574917202698,-1.637659516795419,3.123462252734833,-3.617636787169007,0.9703850277427386,0.6389358105114545,AV030,2022-12-08,low,0.4365988481095003
1191415,neuron_205,0.0086610954699307,0.0063007647448591,374.6352952045257,0.0141693522821352,34.91086925407553,1.0,choice,0.0141685329638939,-5.52604577185835,,,,,,,1.0,SCm,good,True,6468.197019071813,8971.380504336688,2809.7833492842537,0.903846153846154,14.435902447198368,0.0057267299702852,,AV034,2022-12-07,AV034_2022-12-07_neuron_205,AV034_2022-12-07,2.340493785878257,-1.0370014559557676,3.885127220385813,-2.389818916960193,0.7187791026170067,-0.6387121217257058,AV034,2022-12-07,low,0.3971734783092734
1191252,neuron_42,0.0096968202638584,0.0073389555502009,97.8714312535438,0.0096987242936109,10.619792811080714,1.0,choice,0.0096915462267971,-1.6271425950825382,,,,,,,1.0,SCm,good,True,6510.339427583232,8810.735358572587,3090.7189499361634,0.9326923076923076,11.85504574933728,0.0545597927423213,,AV034,2022-12-07,AV034_2022-12-07_neuron_42,AV034_2022-12-07,2.340493785878257,-1.0370014559557676,3.885127220385813,-2.389818916960193,0.7187791026170067,-0.6387121217257058,AV034,2022-12-07,low,0.3971734783092734
1227578,neuron_107,0.0075128521016963,0.0060359367030381,167.26452428699935,0.0075243196169223,25.494189712188067,1.0,choice,0.0075169048641764,-0.6961985235830642,,,,,,,1.0,SCm,good,True,6563.802389933401,9032.213934656416,1778.5042132826577,1.0,1.160578744219265e-07,0.0056464436822141,,FT032,2021-12-13,FT032_2021-12-13_neuron_107,FT032_2021-12-13,4.503604426628077,-0.6788758765661681,5.654184050558685,-4.635909135459783,1.331273798769107,-0.601115736903363,FT032,2021-12-13,high,0.3822613805332722
1243921,neuron_155,0.0079988232829009,0.0063645544579963,82.34684964191518,0.0083743048692112,10.043884329930233,1.0,choice,0.0083441938056137,-0.7346370221779657,,,,,,,1.0,SCm,good,True,6533.531766749049,9078.211641175763,2858.942196060505,1.0,10.195191855646147,0.0871296093583983,,FT032,2021-12-14,FT032_2021-12-14_neuron_155,FT032_2021-12-14,4.170123870015186,-0.0876800479433652,2.922941046818495,-4.114392127167132,1.331273798769107,-0.6026386921286875,FT032,2021-12-14,high,0.4431756980865703
